21
# x y z
-10	0	0
-9	0	0
-8	0	0
-7	0	0
-6	0	0
-5	0	0
-4	0	0
-3	0	0
-2	0	0
-1	0	0
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
171
# a b m n err i ip iperr k r rhoa u valid 
1	2	3	4	2.00019546734068e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.73728868466298e+01	0.00000000000000e+00	1
2	3	4	5	2.00019551235495e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.39675858966934e+01	0.00000000000000e+00	1
3	4	5	6	2.00019558356279e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.38665318799861e+01	0.00000000000000e+00	1
4	5	6	7	2.00019554252635e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.60480549789196e+01	0.00000000000000e+00	1
5	6	7	8	2.00019562072993e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.67586384068808e+01	0.00000000000000e+00	1
6	7	8	9	2.00019569624191e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.90101487743041e+01	0.00000000000000e+00	1
7	8	9	10	2.00019579999777e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.54755459059982e+01	0.00000000000000e+00	1
8	9	10	11	2.00019562549226e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.60594788588310e+01	0.00000000000000e+00	1
9	10	11	12	2.00019530773161e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.81528482059651e+01	0.00000000000000e+00	1
10	11	12	13	2.00019528294944e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.87135200518074e+01	0.00000000000000e+00	1
11	12	13	14	2.00019565632431e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.41465626957755e+01	0.00000000000000e+00	1
