0.0 209.274
1.9381 209.555
3.9097 209.938
5.8512 210.392
7.7771 210.812
9.6569 211.262
11.6803 211.793
13.6079 212.299
15.5309 212.755
17.4216 213.264
19.3608 213.776
21.2611 214.295
23.2251 214.78
25.1518 215.268
27.0993 215.788
29.0435 216.248
30.9869 216.701
32.9798 217.151
34.8999 217.578
36.9022 217.954
38.8433 218.403
40.8202 218.641
42.7922 219.169
44.7033 219.489
46.6596 219.521
48.6466 219.877
50.6351 220.211
52.3324 221.056
54.124 221.957
56.051 222.458
57.956 223.042
59.951 223.413
61.9459 223.629
63.8654 223.61
65.922 223.616
67.8947 223.526
69.9722 223.729
71.9409 223.826
73.9275 223.903
75.9345 224.126
77.9004 224.362
79.8525 224.607
81.8426 224.49
83.869 224.368
85.7817 224.127
87.7705 223.613
89.7986 223.12
91.6428 222.831
