-10.0 209.274 0.0 209.274 12.0
0.0 209.274 1.9381 209.555 12.0
1.9381 209.555 3.9097 209.938 12.0
3.9097 209.938 5.8512 210.392 12.0
5.8512 210.392 7.7771 210.812 12.0
7.7771 210.812 9.6569 211.262 12.0
9.6569 211.262 11.6803 211.793 12.0
11.6803 211.793 13.6079 212.299 12.0
13.6079 212.299 15.5309 212.755 12.0
15.5309 212.755 17.4216 213.264 12.0
17.4216 213.264 19.3608 213.776 12.0
19.3608 213.776 21.2611 214.295 12.0
21.2611 214.295 23.2251 214.78 12.0
23.2251 214.78 25.1518 215.268 12.0
25.1518 215.268 27.0993 215.788 12.0
27.0993 215.788 29.0435 216.248 12.0
29.0435 216.248 30.9869 216.701 12.0
30.9869 216.701 32.9798 217.151 12.0
32.9798 217.151 34.8999 217.578 12.0
34.8999 217.578 36.9022 217.954 12.0
36.9022 217.954 38.8433 218.403 12.0
38.8433 218.403 40.8202 218.641 12.0
40.8202 218.641 42.7922 219.169 12.0
42.7922 219.169 44.7033 219.489 12.0
44.7033 219.489 46.6596 219.521 12.0
46.6596 219.521 48.6466 219.877 12.0
48.6466 219.877 50.6351 220.211 12.0
50.6351 220.211 52.3324 221.056 12.0
52.3324 221.056 54.124 221.957 12.0
54.124 221.957 56.051 222.458 12.0
56.051 222.458 57.956 223.042 12.0
57.956 223.042 59.951 223.413 12.0
59.951 223.413 61.9459 223.629 12.0
61.9459 223.629 63.8654 223.61 12.0
63.8654 223.61 65.922 223.616 12.0
65.922 223.616 67.8947 223.526 12.0
67.8947 223.526 69.9722 223.729 12.0
69.9722 223.729 71.9409 223.826 12.0
71.9409 223.826 73.9275 223.903 12.0
73.9275 223.903 75.9345 224.126 12.0
75.9345 224.126 77.9004 224.362 12.0
77.9004 224.362 79.8525 224.607 12.0
79.8525 224.607 81.8426 224.49 12.0
81.8426 224.49 83.869 224.368 12.0
83.869 224.368 85.7817 224.127 12.0
85.7817 224.127 87.7705 223.613 12.0
87.7705 223.613 89.7986 223.12 12.0
89.7986 223.12 91.6428 222.831 12.0
91.6428 222.831 110.0 222.831 12.0
110.0 222.831 110.0 160.0 11.0
110.0 160.0 -10.0 160.0 11.0
-10.0 160.0 -10.0 209.274 11.0
