             f;      Abs(Zm);     Std(Abs);      Phi(Zm);     Std(Phi);       Re(Zm);       Im(Zm);     Time [s]
1.0000000e-002;   91710.8781;      85.2333;    -0.029361;     0.000777;   91671.2909;   -2692.4775;   3467182596
2.0000000e-002;   90636.3133;      15.9648;    -0.028490;     0.000384;   90599.5191;   -2581.8622;   3467182747
5.0000000e-002;   89244.7449;      14.2030;    -0.026907;     0.000355;   89212.4283;   -2401.0646;   3467182808
1.0000000e-001;   88216.0260;      11.8686;    -0.026127;     0.000277;   88185.9129;   -2304.5189;   3467182839
2.0000000e-001;   87199.2038;      11.0661;    -0.025008;     0.000045;   87171.9374;   -2180.4697;   3467182855
5.0000000e-001;   85920.5099;       6.9716;    -0.022469;     0.000068;   85898.8211;   -1930.4108;   3467182862
1.0000000e+000;   85104.8328;       3.7447;    -0.019333;     0.000060;   85088.9282;   -1645.2420;   3467182866
2.0000000e+000;   84452.4922;       1.4524;    -0.015902;     0.000027;   84441.8141;   -1342.9252;   3467182869
5.0000000e+000;   83819.3352;       5.8225;    -0.012312;     0.000040;   83812.9818;   -1031.9913;   3467182870
1.0000000e+001;   83432.6060;       2.7634;    -0.010303;     0.000061;   83428.1772;    -859.6193;   3467182871
2.0000000e+001;   83104.1787;       2.1759;    -0.008859;     0.000032;   83100.9176;    -736.1980;   3467182873
3.0000000e+001;   82930.7290;       1.1868;    -0.008257;     0.000055;   82927.9015;    -684.7793;   3467182874
7.0000000e+001;   82606.3565;       1.7166;    -0.007007;     0.000030;   82604.3287;    -578.7855;   3467182875
1.3000000e+002;   82389.6136;       2.7027;    -0.006254;     0.000035;   82388.0023;    -515.2524;   3467182876
2.0000000e+002;   82254.0301;       0.1235;    -0.005744;     0.000020;   82252.6734;    -472.4257;   3467182876
5.0000000e+002;   82000.3840;       0.9948;    -0.004723;     0.000019;   81999.4693;    -387.3022;   3467182877
1.0000000e+003;   81852.4430;       2.4918;    -0.003659;     0.000034;   81851.8951;    -299.4811;   3467182878
2.0000000e+003;   81744.5319;       0.3604;    -0.002586;     0.000009;   81744.2585;    -211.4120;   3467182879
5.0000000e+003;   81779.2140;       1.5105;    -0.001349;     0.000023;   81779.1395;    -110.3387;   3467182880
1.0000000e+004;   82085.6477;       1.1302;    -0.003090;     0.000022;   82085.2558;    -253.6690;   3467182881
2.0000000e+004;   82641.9396;       0.8222;    -0.013276;     0.000026;   82634.6568;   -1097.1137;   3467182882
4.5000000e+004;   83175.8032;       7.9929;    -0.045990;     0.000205;   83087.8537;   -3823.9024;   3467182883

             f;     Abs(Z12);     Phi(Z12);     Abs(Z34);     Phi(Z34);     Abs(Z14);     Phi(Z14);     Time [s]
1.0000000e-002;   94047.6569;    -0.289511;   70475.8186;    -0.380833;  253436.5595;    -0.221737;   3467182596
2.0000000e-002;   86944.9676;    -0.254771;   63545.8241;    -0.340468;  239047.8891;    -0.192418;   3467182747
5.0000000e-002;   77819.3015;    -0.212785;   55796.6538;    -0.282297;  221548.2549;    -0.155801;   3467182808
1.0000000e-001;   73231.3161;    -0.162161;   51622.4855;    -0.225255;  212330.7855;    -0.121136;   3467182839
2.0000000e-001;   70199.8127;    -0.115917;   48691.5347;    -0.170485;  205725.2700;    -0.090343;   3467182855
5.0000000e-001;   67697.2774;    -0.075214;   46157.7389;    -0.110830;  199647.6283;    -0.060757;   3467182862
1.0000000e+000;   66415.3012;    -0.056074;   44868.5151;    -0.079773;  196329.4526;    -0.045567;   3467182866
2.0000000e+000;   65387.1019;    -0.042660;   43877.9803;    -0.059062;  193687.5625;    -0.034710;   3467182869
5.0000000e+000;   64285.9813;    -0.031522;   42891.6822;    -0.041580;  190983.0013;    -0.025351;   3467182870
1.0000000e+001;   63591.3516;    -0.025868;   42312.3622;    -0.033035;  189327.7432;    -0.020611;   3467182871
2.0000000e+001;   63001.8589;    -0.021897;   41838.6563;    -0.027351;  187938.9541;    -0.017346;   3467182873
3.0000000e+001;   62691.1348;    -0.020275;   41593.5233;    -0.025142;  187210.5904;    -0.016033;   3467182874
7.0000000e+001;   62099.6605;    -0.017856;   41130.2652;    -0.022122;  185832.4440;    -0.013977;   3467182875
1.3000000e+002;   61685.0069;    -0.016643;   40818.6469;    -0.021154;  184889.6263;    -0.013009;   3467182876
2.0000000e+002;   61396.8660;    -0.015797;   40614.2096;    -0.021061;  184261.4064;    -0.012469;   3467182876
5.0000000e+002;   60819.2069;    -0.013608;   40210.6222;    -0.023627;  183025.2480;    -0.011829;   3467182877
1.0000000e+003;   60369.5481;    -0.010500;   39906.0837;    -0.029407;  182119.1309;    -0.011568;   3467182878
2.0000000e+003;   59864.2911;    -0.003820;   39550.6904;    -0.041409;  181136.8125;    -0.011469;   3467182879
5.0000000e+003;   59191.8746;     0.019373;   38846.2421;    -0.074172;  179708.7869;    -0.010252;   3467182880
1.0000000e+004;   58950.8710;     0.060116;   37877.8148;    -0.119630;  178540.9874;    -0.006903;   3467182881
2.0000000e+004;   59815.5808;     0.135388;   36181.4635;    -0.189748;  177435.0048;     0.000858;   3467182882
4.5000000e+004;   64294.5500;     0.273620;   33087.2223;    -0.306948;  176567.0577;     0.020120;   3467182883

             f;          Ug1;          Ug2;          Ug3;          Ug4;     Time [s];
1.0000000e-002;    -0.000253;    -0.381880;    -0.491025;     0.000532;   3467182596
2.0000000e-002;    -0.000229;    -0.413106;    -0.504199;     0.000272;   3467182747
5.0000000e-002;    -0.000213;    -0.430690;    -0.506191;     0.000076;   3467182808
1.0000000e-001;    -0.000161;    -0.441700;    -0.508448;    -0.000014;   3467182839
2.0000000e-001;    -0.000059;    -0.451555;    -0.503260;    -0.000188;   3467182855
5.0000000e-001;    -0.000132;    -0.450887;    -0.507731;    -0.000115;   3467182862
1.0000000e+000;    -0.000136;    -0.442162;    -0.520995;     0.000142;   3467182866
2.0000000e+000;    -0.000129;    -0.438683;    -0.524587;     0.000224;   3467182869
5.0000000e+000;    -0.000173;    -0.436033;    -0.527970;     0.000301;   3467182870
1.0000000e+001;    -0.000189;    -0.435626;    -0.528063;     0.000297;   3467182871
2.0000000e+001;    -0.000221;    -0.435055;    -0.528711;     0.000312;   3467182873
3.0000000e+001;    -0.000193;    -0.435216;    -0.528313;     0.000288;   3467182874
7.0000000e+001;    -0.000181;    -0.435122;    -0.528317;     0.000211;   3467182875
1.3000000e+002;    -0.000141;    -0.434772;    -0.528077;     0.000214;   3467182876
2.0000000e+002;    -0.000085;    -0.434849;    -0.528590;     0.000206;   3467182876
5.0000000e+002;    -0.000060;    -0.434478;    -0.528610;     0.000217;   3467182877
1.0000000e+003;    -0.000133;    -0.434260;    -0.528646;     0.000215;   3467182878
2.0000000e+003;    -0.000020;    -0.433881;    -0.528619;     0.000220;   3467182879
5.0000000e+003;     0.000020;    -0.433580;    -0.528647;     0.000224;   3467182880
1.0000000e+004;     0.000058;    -0.433301;    -0.528668;     0.000230;   3467182881
2.0000000e+004;    -0.000073;    -0.433085;    -0.528695;     0.000233;   3467182882
4.5000000e+004;    -0.000236;    -0.432920;    -0.528749;     0.000239;   3467182883

             f;          Us1;          Us2;          Us3;          Us4;     Time [s];
1.0000000e-002;     4.971273;     3.140424;     1.395273;     0.019540;   3467182596
2.0000000e-002;     4.971088;     3.176053;     1.335595;     0.020710;   3467182747
5.0000000e-002;     4.970986;     3.237112;     1.267851;     0.022338;   3467182808
1.0000000e-001;     4.970994;     3.266761;     1.225664;     0.023303;   3467182839
2.0000000e-001;     4.970947;     3.283743;     1.194571;     0.024047;   3467182855
5.0000000e-001;     4.970961;     3.294049;     1.168175;     0.024775;   3467182862
1.0000000e+000;     4.970928;     3.297996;     1.155402;     0.025191;   3467182866
2.0000000e+000;     4.971729;     3.302019;     1.146007;     0.025537;   3467182869
5.0000000e+000;     4.975352;     3.309390;     1.137459;     0.025916;   3467182870
1.0000000e+001;     4.978152;     3.314911;     1.132852;     0.026156;   3467182871
2.0000000e+001;     4.980728;     3.319925;     1.129286;     0.026362;   3467182873
3.0000000e+001;     4.983197;     3.323364;     1.127729;     0.026477;   3467182874
7.0000000e+001;     4.984355;     3.327666;     1.123954;     0.026678;   3467182875
1.3000000e+002;     4.983678;     3.329926;     1.121147;     0.026810;   3467182876
2.0000000e+002;     4.988484;     3.335281;     1.120529;     0.026927;   3467182876
5.0000000e+002;     4.987979;     3.339486;     1.117001;     0.027105;   3467182877
1.0000000e+003;     4.986431;     3.342537;     1.113884;     0.027230;   3467182878
2.0000000e+003;     4.982865;     3.345178;     1.109357;     0.027356;   3467182879
5.0000000e+003;     4.971201;     3.343923;     1.096081;     0.027504;   3467182880
1.0000000e+004;     4.964681;     3.340010;     1.074884;     0.027638;   3467182881
2.0000000e+004;     4.964929;     3.323145;     1.034170;     0.027800;   3467182882
4.5000000e+004;     4.952017;     3.247794;     0.949744;     0.027902;   3467182883
